Barra,Tensao_pu,Angulo_graus
276,1.0000,-13.7854
277,1.0000,-13.7202
278,1.0000,-16.2477
279,1.0000,-16.7177
281,1.0000,-14.7305
282,1.0000,-19.9193
283,1.0000,-18.1231
284,1.0000,-18.0162
285,1.0000,-15.4509
286,1.0000,-16.2562
287,1.0000,-17.6768
288,1.0000,-19.4311
289,1.0000,-17.7028
290,1.0000,-18.1567
291,1.0000,-18.1939
292,1.0000,-18.9391
293,1.0000,-18.9829
294,1.0000,-17.1713
295,1.0000,-14.1286
296,1.0000,-15.5930
297,1.0000,-24.5991
299,1.0000,20.6588
300,1.0000,19.9175
301,1.0000,12.0353
302,1.0000,16.5880
303,1.0000,28.3856
304,1.0000,10.0806
305,1.0000,15.4419
306,1.0000,1.1471
307,1.0000,17.1139
308,1.0000,-13.1556
309,1.0000,-16.7268
312,1.0000,24.9256
313,1.0000,-9.9843
314,1.0000,-13.3670
315,1.0000,-13.3670
316,1.0000,-13.7991
317,1.0000,-10.0905
318,1.0000,-0.2581
319,1.0000,-3.5115
320,1.0000,13.5746
321,1.0000,15.6734
322,1.0000,11.4350
323,1.0000,-12.0467
324,1.0000,-4.4018
325,1.0000,5.3815
326,1.0000,6.0020
327,1.0000,-15.4276
328,1.0000,7.0499
329,1.0000,-4.4303
330,1.0000,7.7892
331,1.0000,-15.2730
332,1.0000,-17.9053
336,1.0000,-12.3412
337,1.0000,-13.4367
338,1.0000,-13.4297
339,1.0000,-13.3997
340,1.0000,18.5125
341,1.0000,4.2838
342,1.0000,2.0751
343,1.0000,29.1143
344,1.0000,-3.5071
345,1.0000,-4.3353
346,1.0000,-4.4090
347,1.0000,-2.3331
348,1.0000,-2.1531
349,1.0000,-5.8699
350,1.0000,-7.5662
351,1.0000,-7.7686
352,1.0000,-7.9768
353,1.0000,-9.4008
354,1.0000,-9.4008
355,1.0000,-9.4008
356,1.0000,-7.7686
357,1.0000,-7.9768
360,1.0000,10.9288
362,1.0000,-2.3988
364,1.0000,-9.7778
365,1.0000,-9.8322
367,1.0000,-2.3450
368,1.0000,-5.1948
370,1.0000,21.5995
371,1.0000,-9.7070
372,1.0000,-9.5344
373,1.0000,-9.4752
