Barra,Tensao_pu,Angulo_graus
789,0.9998,-19.0741
790,0.9772,-15.8280
791,0.9353,-25.2854
792,1.0503,-13.9069
793,0.9069,-21.0867
794,0.9731,-22.4356
795,0.9890,-18.5691
796,0.9791,-22.5505
797,0.9663,-20.4814
798,0.9470,-24.8812
800,0.9770,-15.5009
801,0.9940,-23.5754
802,1.0000,-45.2722
803,1.0000,-45.2722
804,0.9320,-32.5069
805,0.9690,-40.8176
806,0.9670,-11.7398
807,1.0068,-18.3726
808,0.9990,-3.6277
809,0.9930,-11.5203
810,0.9890,-10.8316
811,1.0110,-18.5801
812,0.9256,-37.3044
813,1.1134,-45.2722
814,0.0051,-67.4084
815,1.0493,-45.6101
816,0.8170,-44.5692
817,0.9507,-40.8176
818,0.9743,-45.1780
819,0.6903,-44.1725
820,1.0043,-45.4172
821,1.1956,-45.2269
823,0.9847,-25.9614
824,1.0078,-23.5754
825,0.9794,-24.8104
826,0.9348,-37.0119
827,0.9576,-39.9351
828,0.6161,-47.6367
829,0.9170,-37.8514
830,0.8790,-39.7250
831,0.8245,-38.5357
832,0.9345,-36.6543
833,0.8611,-39.9823
834,1.0328,-38.6551
835,0.9703,-27.0725
836,0.9705,-31.3482
837,0.9725,-26.7727
838,0.7209,-46.5955
839,0.8215,-16.7473
840,0.7930,-23.8636
841,0.7487,-29.1729
842,0.8801,-20.2839
843,0.7381,-27.5367
844,0.7105,-32.2561
845,0.8741,-20.9693
847,0.1217,-49.7279
848,0.9195,-16.9246
849,0.7286,-48.7147
850,0.7458,-30.0932
851,0.8507,-49.3352
852,0.9614,-20.3776
853,0.9558,-22.0922
854,0.7576,-25.7920
855,0.9153,-17.5086
856,0.9872,-18.5801
857,0.7282,-34.5425
858,0.7067,-32.7188
859,0.4332,-55.9368
860,0.4922,-44.9498
861,0.3660,-52.3664
862,-0.5256,-229.4029
863,0.5049,-52.9370
864,0.3408,-60.7050
865,0.5032,-50.8426
866,0.4940,-50.5181
867,0.3686,-55.7639
868,0.4168,-39.7007
869,0.3808,-54.6879
870,0.4873,-51.7279
871,0.4777,-46.9217
872,0.4323,-36.2131
873,-0.5275,-550.9740
874,-0.5487,132.0628
875,0.6735,-39.7970
878,0.4362,-38.7256
879,0.4039,-51.6866
880,0.6268,-41.4381
881,0.3993,-58.2382
882,0.5160,-48.0287
883,0.4250,-56.2718
884,0.8125,-36.4176
885,0.4312,-55.0488
886,0.4434,-38.0732
887,0.4304,-49.1567
888,0.4838,-52.1884
889,0.4560,-36.5812
890,0.4124,-51.5400
892,0.4222,-51.9700
893,0.4183,-52.2540
894,0.4159,-51.6338
895,1.1678,-39.0007
896,0.8053,-13.4745
897,0.9202,-11.5203
898,0.9408,-13.6413
899,0.3722,-55.4443
904,0.9730,-15.0979
905,1.0170,-23.1278
907,0.9620,-32.7916
909,0.9790,-31.5289
911,0.9950,-30.1694
913,0.9880,-28.8082
915,1.0010,-17.3826
916,1.0380,-25.9213
917,0.9920,-19.0344
918,0.9940,-25.3159
919,0.9950,-5.6722
920,1.0030,-13.1315
921,0.9960,-5.2425
922,1.0030,-13.1705
923,0.9930,-15.5432
924,0.9930,-15.5432
925,0.9660,-7.5901
926,0.9910,-17.5878
927,0.9930,-15.5433
928,0.9930,-15.5438
929,0.9930,-15.5432
930,0.7726,-56.3310
931,0.9920,-17.0524
932,1.0048,-23.4543
933,1.0080,-24.1457
934,1.0150,-25.5977
936,1.0211,-25.6080
938,1.0564,-41.2089
939,1.0777,-43.0075
940,1.0671,-46.3055
943,1.0255,-41.6951
944,1.1279,-39.9306
945,1.0467,-44.3808
946,1.0429,-39.9306
947,1.0591,-42.1036
948,1.0366,-44.8871
949,1.0331,-40.2016
950,1.0221,-34.6193
951,0.8957,-37.4646
953,1.0076,-24.9284
954,0.5273,-33.3855
955,1.0024,-28.2913
956,1.0056,-26.5219
958,1.0194,-27.5867
959,1.1457,-40.7927
960,1.1956,-45.2175
961,0.9942,-36.8897
962,0.9448,-34.4099
963,0.9672,-32.9452
964,0.9378,-33.4448
965,0.9386,-34.2869
966,0.8762,-34.0420
967,1.0252,-45.6043
970,1.0760,-1.9286
971,1.0760,-1.9286
972,1.0210,-24.1216
973,1.0210,-24.1215
974,0.9081,-34.0420
975,0.8965,-36.3846
976,0.9000,-34.9459
978,0.0000,299.0756
979,0.9027,-34.0276
980,0.8818,-35.9214
981,0.9073,-33.7280
982,0.9363,-28.5291
983,0.9730,-26.6545
984,0.9970,-22.0385
985,1.0340,-48.6424
986,1.0598,-51.0267
987,1.0560,-50.8456
988,1.0567,-51.3335
989,1.0096,-50.8456
990,1.0102,-51.3335
991,1.0416,-44.0899
992,1.0417,-47.5074
993,0.9512,-27.7178
995,0.9852,-23.1983
996,0.9850,-23.1129
997,0.9443,-32.6737
998,0.9930,-27.0190
999,0.8508,-25.1815
1006,1.0279,-35.0045
1007,1.0087,-36.1010
1008,1.0204,-37.1705
1010,1.0280,-35.0027
1011,1.0283,-34.9130
1014,1.0043,-31.9619
1015,1.0288,-50.3854
1016,1.0041,-52.6289
1017,1.0073,-54.2202
1018,0.8139,-20.9358
1019,0.7995,-23.1637
1020,1.0426,-50.1778
1023,0.9307,-35.2936
1024,0.9187,-35.6344
1025,0.8935,-10.8653
1026,0.9181,-13.8832
1027,0.4401,-28.6891
1028,0.4630,-33.6184
1030,0.9976,-25.9213
1032,1.0561,-42.8055
1034,1.0467,-43.0634
1035,1.0271,-45.1673
1036,0.9050,-34.9892
1037,0.9011,-35.5875
1038,0.8847,-35.4205
1039,0.9767,-37.8166
1040,1.0590,0.0000
1041,0.9961,-25.2563
1042,0.9944,-25.3511
1043,0.6968,-51.3441
1045,0.9944,-26.3204
1046,0.9860,-28.4456
1047,0.9561,-13.1018
1048,0.9448,-13.1018
1052,0.8638,-39.0628
1055,1.0118,-35.0726
1056,1.0099,-35.9432
1057,1.0091,-36.1587
1058,1.0097,-40.0732
1060,0.9584,-17.5620
1062,1.0035,-22.1299
1063,1.0146,-36.2387
1064,1.0081,-38.2560
1065,1.0217,-37.1631
1069,0.9881,-22.4054
1070,0.9980,-11.5879
1071,1.0083,-18.5552
1073,0.9990,-18.5552
1074,1.0069,-28.4922
1075,0.8460,-16.1485
1076,0.9902,-4.9435
1077,0.9826,-5.4871
1078,0.8153,-17.1126
1079,0.8233,-19.2654
1080,0.8235,-19.2414
1081,0.9745,-9.0678
1082,0.9123,-14.4431
1084,0.9952,-9.5232
1085,0.8615,-14.2884
1086,0.6500,-7.9211
1087,0.8417,3.1395
1088,0.8661,16.2338
1089,1.0095,-7.2880
1090,0.9952,-6.1743
1091,0.0000,476.2343
1093,0.8533,15.2860
1094,0.8593,15.1212
1095,0.8559,3.1629
1098,0.9401,15.8070
1099,0.9735,-6.2393
1100,1.0150,0.0000
1101,1.0184,-7.5847
1103,1.0180,-7.7407
1106,0.9275,-4.7297
1107,1.0110,3.8145
1116,1.0224,-24.9039
1117,1.0224,-24.9039
1119,0.9031,16.0217
1121,0.6448,-15.8819
1128,0.6388,-15.4880
1129,0.8947,-15.8691
1130,0.8941,-16.5899
1131,0.8242,-19.7344
1132,0.9011,-16.0063
1133,0.8935,-16.3572
1134,0.9058,-15.2283
1135,0.9981,-1.9877
1136,0.9006,-15.6466
1138,0.8440,-16.6815
1139,0.6407,-16.8163
1140,0.6488,-15.9716
1141,-0.0239,208.7547
1142,0.6450,-12.6462
