Barra,Tensao_pu,Angulo_graus,Correcao_Tensao_QLIM_pu,Tipo_Barra
273,1.0100,-20.8130,0.000000,1
274,1.0027,-21.5974,0.000000,1
275,0.9797,-26.1445,0.000000,1
276,0.9663,-18.9818,0.000000,1
277,0.9714,-20.3123,0.000000,1
278,0.9783,-23.0605,0.000000,1
279,0.9624,-23.9589,0.000000,1
281,0.9970,-21.9164,0.000000,1
282,0.9698,-27.3724,0.000000,1
283,0.9690,-25.6058,0.000000,1
284,0.9688,-25.5102,0.000000,1
285,0.9802,-22.8649,0.000000,1
286,0.9818,-23.6081,0.000000,1
287,0.9999,-24.8741,0.000000,1
288,0.9795,-26.8413,0.000000,1
289,0.9714,-25.0636,0.000000,1
290,0.9686,-25.6587,0.000000,1
291,0.9846,-25.6040,0.000000,1
292,0.9814,-26.3535,0.000000,1
293,0.9647,-26.0472,0.000000,1
294,0.9759,-24.3432,0.000000,1
295,0.9923,-21.4613,0.000000,1
296,0.9577,-21.1601,0.000000,2
297,1.0114,-27.1128,0.000000,1
299,1.0508,-2.0106,0.000000,1
300,1.0500,3.5133,0.000000,2
301,0.9500,1.6211,0.000000,2
302,1.0296,1.9900,0.000000,2
303,1.0088,14.7186,0.000000,2
304,0.9870,-5.5635,0.000000,2
305,0.9500,5.4055,0.000000,2
306,0.9500,-11.7189,0.000000,2
307,1.0045,1.4532,0.000000,1
308,0.9994,-23.8844,0.000000,1
309,0.9952,-27.1998,0.000000,1
312,1.0173,9.8090,0.000000,2
313,0.9822,-22.6393,0.000000,1
314,1.0049,-26.0094,0.000000,1
315,0.9500,-25.9347,0.000000,2
316,1.0042,-26.4477,0.000000,1
317,1.0500,-21.3032,0.000000,2
318,0.9736,-5.2353,0.000000,1
319,1.0179,-17.4685,0.000000,1
320,1.0883,-2.3249,0.000000,1
321,1.0410,-0.3002,0.000000,1
322,0.9800,6.2035,0.000000,1
323,1.0056,-22.0591,0.000000,1
324,0.9748,-17.9070,0.000000,1
325,1.0641,-6.6443,0.000000,1
326,1.0005,-4.8992,0.000000,1
327,1.0391,-26.2008,0.000000,1
328,1.0065,-3.6096,0.000000,1
329,0.9577,-17.9352,0.000000,1
330,1.0040,-2.7121,0.000000,1
331,0.9838,-25.5504,0.000000,1
332,1.0241,-28.1647,0.000000,1
336,1.0024,-23.7871,0.000000,1
337,1.0193,-25.0010,0.000000,1
338,1.0282,-24.9932,0.000000,1
339,1.0284,-24.9597,0.000000,1
340,1.0448,3.6124,0.000000,1
341,1.0159,-12.1389,0.000000,1
342,1.0488,-14.2504,0.000000,1
343,0.9504,18.2680,0.000000,2
344,1.0433,-17.0299,0.000000,1
345,0.9880,-17.8414,0.000000,1
346,0.9500,-17.9142,0.000000,2
347,1.0138,-16.2865,0.000000,1
348,1.0299,-16.0796,0.000000,1
349,1.0457,-18.9019,0.000000,1
350,0.9821,-20.5051,0.000000,1
351,0.9096,-20.6942,0.000000,1
352,0.9160,-20.8884,0.000000,1
353,1.0056,-22.4199,0.000000,1
354,0.9500,-22.4199,0.000000,2
355,0.9500,-22.4199,0.000000,2
356,0.9859,-20.6942,0.000000,1
357,0.9905,-20.8884,0.000000,1
360,1.0814,-3.4821,0.000000,1
362,0.9576,-7.1514,0.000000,1
364,1.0275,-15.0090,0.000000,1
365,1.0271,-15.0628,0.000000,1
367,1.0025,-12.8330,0.000000,1
368,1.0022,-15.8280,0.000000,1
370,1.0710,8.1087,0.000000,1
371,1.0133,-22.3068,0.000000,1
372,0.9879,-22.1253,0.000000,1
373,0.9917,-22.1547,0.000000,1
374,0.9924,-22.1527,0.000000,1
375,1.0180,-22.1494,0.000000,1
376,0.9972,-26.9617,0.000000,1
377,1.0399,-22.1259,0.000000,1
378,1.0532,-18.1423,0.000000,1
379,1.0392,-22.3068,0.000000,1
380,1.0224,-11.6865,0.000000,1
381,1.0141,-10.8417,0.000000,1
382,1.0234,-12.5264,0.000000,1
383,1.0138,-16.2948,0.000000,1
384,1.0444,-20.4373,0.000000,1
385,1.0129,-22.2038,0.000000,1
386,1.0090,-24.0431,0.000000,1
387,1.0102,-24.3161,0.000000,1
388,1.0085,-24.2770,0.000000,1
389,0.9581,-24.2840,0.000000,1
390,1.0674,-11.7002,0.000000,1
391,1.0011,-12.5815,0.000000,1
392,1.0100,0.2971,0.000000,1
393,1.0017,-12.6517,0.000000,1
394,1.0101,-13.8995,0.000000,1
395,1.0035,-12.8406,0.000000,1
396,0.9989,0.2248,0.000000,1
397,1.0017,-12.6517,0.000000,1
398,1.0255,-12.1363,0.000000,1
399,1.0386,-13.3282,0.000000,1
402,1.0380,-10.7597,0.000000,2
403,0.9852,-30.3520,0.000000,2
404,0.9743,-26.7123,0.000000,2
405,0.9987,-26.7123,0.000000,2
406,1.0098,-30.3520,0.000000,2
409,1.0180,-8.1675,0.000000,1
410,1.0218,-24.8302,0.000000,1
411,0.9604,-27.5486,0.000000,1
412,0.9995,-18.6110,0.000000,1
413,1.0267,-19.1618,0.000000,1
414,1.0114,-23.5427,0.000000,1
415,1.0262,-28.9716,0.000000,1
416,0.9982,-24.9928,0.000000,1
417,1.0160,-24.9927,0.000000,1
418,1.0185,-26.8018,0.000000,1
420,1.0017,-22.1778,0.000000,1
421,1.0164,-25.9450,0.000000,1
422,1.0120,-28.7040,0.000000,1
423,0.9942,17.7767,0.000000,1
424,0.9837,22.0664,0.000000,1
425,1.0209,-26.0444,0.000000,1
426,1.0209,-26.0444,0.000000,1
427,1.0213,-26.2876,0.000000,1
428,1.0500,-28.0836,0.000000,1
429,0.9969,-29.2166,0.000000,1
430,0.9837,22.0623,0.000000,1
431,1.0192,-25.7579,0.000000,1
432,1.0046,-23.2724,0.000000,1
435,1.0052,-25.2978,0.000000,1
436,1.0084,-30.1897,0.000000,1
437,1.0081,-31.3020,0.000000,1
438,1.0083,-25.1206,0.000000,1
439,1.0010,-26.6002,0.000000,1
440,0.9500,-29.3683,0.000000,1
441,1.0167,-27.0760,0.000000,1
442,0.9920,-24.0274,0.000000,1
443,1.0049,-31.4567,0.000000,1
444,1.0098,-31.8583,0.000000,1
445,0.9964,-25.6413,0.000000,1
446,0.9937,-22.3058,0.000000,1
447,1.0026,-25.3158,0.000000,1
448,0.9943,-22.2214,0.000000,1
449,1.0009,-21.5273,0.000000,1
451,0.9949,-22.2757,0.000000,1
452,1.0197,-22.7541,0.000000,1
453,1.0231,-21.4274,0.000000,1
454,0.9674,-21.3324,0.000000,1
455,1.0114,-27.1128,0.000000,1
458,0.9825,-14.1490,0.000000,1
459,0.9878,-16.3020,0.000000,1
460,0.9865,3.5397,0.000000,1
461,0.9791,-15.1715,0.000000,1
462,0.9504,-19.0264,0.000000,1
464,0.9972,-22.7624,0.000000,1
465,0.9985,-30.9144,0.000000,1
466,0.9961,-23.0574,0.000000,1
467,1.0008,-30.3003,0.000000,1
471,1.0043,-22.9132,0.000000,1
472,1.0000,-24.6649,0.000000,1
473,1.0318,-24.1810,0.000000,1
474,1.0088,-24.6669,0.000000,1
475,1.0062,-33.7868,0.000000,1
476,1.0062,-30.1259,0.000000,1
477,0.9995,-24.7798,0.000000,1
478,1.0110,-4.8893,0.000000,1
479,0.9974,-4.0536,0.000000,1
480,1.0000,-24.7898,0.000000,1
481,1.0284,-24.7671,0.000000,1
482,1.0284,-24.7670,0.000000,1
483,1.0098,-30.3520,0.000000,1
484,0.9987,-26.7123,0.000000,1
485,1.0098,-30.3520,0.000000,1
486,1.0065,-31.8436,0.000000,1
487,1.0036,-26.3646,0.000000,1
488,1.0039,-26.3014,0.000000,1
