ID_Barra,Tipo_Barra,Tensao_Base_kV,Tensao_Mag_pu,Tensao_Ang_graus,P_Geracao_pu,Q_Geracao_pu,P_Carga_pu,Q_Carga_pu,Desvio_Tensao_QLIM_pu,Corte_Reativo_VLIM_pu,Corte_Ativo_DERA_pu,Corte_Reativo_DERA_pu
5288,1,13.8,1.0073851172481982,-3.7868594721255384,0.0,0.0,0.0,0.0,0.0,4.700829111547574e-10,0.0,0.0
5299,1,34.5,1.0304833902242652,16.727939680635497,0.0,0.0,-0.516,0.032,0.0,7.201278263689457e-10,0.0,0.0
5315,1,34.5,1.0223149819662551,10.65313131633865,0.0,0.0,-0.324,0.1,0.0,-3.9812152169949825e-9,0.0,0.0
5318,1,500.0,1.0988262690617998,-3.643688664422166,0.0,0.0,1.47,-0.36700000000000005,0.0,5.418064298379464e-10,-9.090909087486107e-9,2.269635125923402e-9
5320,1,34.5,1.019525150492185,0.7998124425913068,0.0,0.0,-0.084,0.0101,0.0,1.542983419664577e-9,0.0,0.0
5337,1,230.0,1.0281893384358556,9.41637674835177,0.0,0.0,0.0,0.0,0.0,-1.7158878369659065e-9,0.0,0.0
5350,1,500.0,1.0879866894828465,7.936981543250595,0.0,0.0,0.0,0.0,0.0,4.703053329660815e-11,0.0,0.0
5351,1,230.0,1.0052398514470664,10.442591986894314,0.0,0.0,0.0,0.0,0.0,2.7111473186601785e-9,0.0,0.0
5352,1,230.0,1.0267878483794715,12.453688767843621,0.0,0.0,0.0,0.0,0.0,2.3574622886623264e-10,0.0,0.0
5353,1,12.0,1.001594748924629,13.848836072171812,0.0,0.0,0.0,0.0,0.0,2.7274555007179115e-10,0.0,0.0
5370,1,500.0,1.0963976785868734,-2.511897712620854,0.0,0.0,0.0,0.0,0.0,-8.366539799752414e-10,0.0,0.0
5371,1,230.0,0.9888393101573909,-2.055907954590136,0.0,0.0,0.0,0.0,0.0,-8.261960976858458e-10,0.0,0.0
5373,1,34.5,0.9966384374215753,1.9791341227632713,0.0,0.0,0.0,0.0,0.0,-8.812753093999867e-10,0.0,0.0
5374,1,34.5,1.0040651093116564,3.4333789361004707,0.0,0.0,-0.192,0.0163,0.0,-8.667279227387428e-10,0.0,0.0
5376,1,991.0,1.0428454845494022,9.806834584876867,0.0,0.0,0.0,0.0,0.0,5.809816513586908e-9,0.0,0.0
5377,1,13.8,1.0428454796976243,9.806834584876867,0.0,0.0,0.0,0.0,0.0,8.978972795869719e-9,0.0,0.0
