ID_Barra,Tensao_Mag_pu,Tensao_Ang_graus,P_Geracao_pu,Q_Geracao_pu,P_Carga_pu,Q_Carga_pu,Desvio_Tensao_QLIM_pu,Corte_Reativo_VLIM_pu,Falta_Ativa_PLIM_pu
203,0.5551033668450006,-58.13314857383382,0.0,0.0,0.0,0.0,0.0,0.030424694349633713,0.009685964706589554
2335,0.662499564572663,-32.67232350568356,0.0,0.0,0.10800000000000001,0.031,0.0,-0.010393472927212388,0.030316085167106356
1047,0.7025859077537742,-14.854538709892912,0.0,0.0,0.0,0.0,0.0,-0.4466026321860619,-0.6285585589829357
1218,0.6637622064950442,-45.80471628176201,0.0,0.0,0.0,0.0,0.0,-0.12653393453791256,-0.0011156619842456381
43376,0.7043826481899127,-16.968745072627062,0.0,0.0,0.0,0.0,0.0,0.001227143240426601,-0.014690946412667591
10073,0.6651864856868153,-53.70264768385178,0.0,0.0,0.0,0.0,0.0,0.09667808595745622,0.04709952313449766
415,0.5917574468708272,-70.66627330138544,0.0,0.0,0.0,0.0,0.0,-0.386756640391623,0.7743243073289028
6778,0.6274129378743982,-24.49158063461867,0.0,0.0,0.0,0.0,0.0,-0.0009302096993657391,-0.017867238397771587
14984,0.5914001561057982,-57.259811729466584,0.0,0.0,0.0,0.0,0.0,-0.005098211755717463,0.011975033682318139
4940,0.589179862185754,-32.585573532214354,0.0,0.0,0.0,0.0,0.0,-0.007963614415275645,0.005173026982817508
10078,0.6647345238053949,-56.98124500425355,0.0,0.0,0.0,0.0,0.0,-0.002246220141658449,0.007451952881982209
7410,0.635231661332117,-32.010372815376265,0.0,0.0,0.0,0.0,0.0,-0.0780903610821036,0.009567611497969808
47278,0.5798934680733144,-69.61709328894409,0.0,0.0,0.0,0.0,0.0,0.00019841160078900514,4.830994067767299e-5
7831,0.5616943319012486,-54.16858782481814,0.0,0.0,0.003,0.001,0.0,-0.02329244539141476,0.025845845423857202
44132,0.5123276425523098,-32.323553042906674,0.0,0.0,0.0,0.0,0.0,-0.011304569137963452,0.017785302538351984
4517,0.6920041637362003,-25.344727709510618,0.0,0.0,0.0,0.0,0.0,-0.15819793074681213,0.00895194422583292
2229,0.5990648032950139,-64.2007177035397,0.0,0.0,0.276,0.077,0.0,-0.03749336818422192,0.09162993580791431
23164,0.6341638523557251,-26.435684802781527,0.0,0.0,0.0,0.0,0.0,0.007282779687318696,-0.01697476562318386
424,0.7076228105779792,5.087767454934066,0.0,0.0,0.0,0.0,0.0,-0.04362908884682526,-0.04661825213400616
11395,0.6022934443998063,-56.570943727036166,0.0,0.0,0.0,0.0,0.0,-0.0007693556486486423,0.0011794690067899534
7231,0.6231336051135856,-52.192378275970746,0.0,0.0,0.0,0.0,0.0,-0.017642859600830955,0.06833804981940428
7510,0.6080514790907243,-55.21351556776546,0.0,0.0,0.017,0.006999999999999999,0.0,-0.004711621785009649,0.011470803853431705
1240,0.6532995749675008,-41.46737644921124,0.0,0.0,0.35,0.132,0.0,-0.05309629133107885,0.06211276548341481
42012,0.6544279566207206,-20.58828524915633,0.0,0.0,0.0,0.0,0.0,-0.2533582245800601,-0.5668312793573803
