ID_Barra,Tipo_Barra,Tensao_Mag_pu,Tensao_Ang_graus,P_Geracao_pu,Q_Geracao_pu,P_Carga_pu,Q_Carga_pu,Desvio_Tensao_QLIM_pu,Corte_Reativo_VLIM_pu,Folga_Ativa_SLP_pu
8771,1,0.9932784707615269,77.88448187912061,0.0,0.0,-0.7081999999999999,-0.0216,0.0,-0.00018802409638081667,-8.042664556687054e-5
8788,1,0.9933958068426003,77.57468546947078,0.0,0.0,-0.7101000000000001,-0.02311,0.0,-0.00018736741628277892,-7.839184975000861e-5
8789,1,0.9932606568162466,78.19461963546956,0.0,0.0,-0.7402,-0.0252,0.0,-0.00018843455457858075,-8.253840451821878e-5
8790,1,0.9937171326254489,77.4200220431676,0.0,0.0,-0.7111,-0.02122,0.0,-0.00018722505167065632,-7.738928093359442e-5
8950,1,0.9929838717059902,46.23040035899765,0.0,0.0,0.0,0.0,0.0,-0.00023509297564827623,8.789759026528735e-5
8951,1,0.9922866424585782,46.236990775418,0.0,0.0,0.0,0.0,0.0,-0.00023511692440841129,8.78441303890616e-5
8952,1,0.9870291211331385,46.236238100428764,0.0,0.0,0.0,0.0,0.0,-0.00023513375539938516,8.785030916746434e-5
9467,1,1.0500000104999947,69.62309637017488,0.0,0.0,0.0,0.0,0.0,0.00012108508929944876,-4.207640840641854e-6
9507,1,0.94999999,-13.278077870774837,0.0,0.0,0.0,0.0,0.0,-0.003973132565123337,5.8259170317683404e-5
9508,1,0.94999999,-13.278076572563922,0.0,0.0,0.0,0.0,0.0,-0.00400888121091436,5.8258871008224134e-5
9524,1,0.9701981530170134,67.48872263350663,0.0,0.0,0.0,0.0,0.0,-0.00020069039215893432,-5.32959599752865e-6
9526,1,1.026892051653843,53.84626483085427,0.0,0.0,0.0,0.0,0.0,-0.00035793365210120664,8.568782470853778e-5
11394,1,1.045890989567024,-14.980768501721807,0.0,0.0,0.0,0.0,0.0,0.00017869093997192426,2.9733875114130678e-5
11395,1,1.045691057577906,-14.997714927678665,0.0,0.0,0.0,0.0,0.0,0.00017873626258893457,2.96172863059219e-5
11797,1,1.043762590872881,-14.508155958839112,0.0,0.0,0.0,0.0,0.0,0.00017266701144600454,3.41431821075433e-5
13584,1,0.9908039861513739,-16.09575375201897,0.0,0.0,0.0,0.0,0.0,0.00018183657337263791,2.2801484705296744e-5
21392,1,1.0449554378730785,-15.048653492315067,0.0,0.0,0.0,0.0,0.0,0.00017887303674022964,2.9266262952106182e-5
21394,1,1.0452494151286764,-15.019915306360307,0.0,0.0,0.0,0.0,0.0,0.0001787955434068409,2.9464485148553775e-5
21395,1,1.0450624774597435,-15.035965945064286,0.0,0.0,0.0,0.0,0.0,0.00017883901064686251,2.935372909902282e-5
21797,1,1.043996380781071,-14.4929308612778,0.0,0.0,0.0,0.0,0.0,0.00017262660928503787,3.424344792598803e-5
23584,1,0.9897056667108254,-16.152011852115702,0.0,0.0,0.0,0.0,0.0,0.00018201045857039317,2.23789366500417e-5
40509,1,0.9581066974991611,10.921056986313408,0.0,0.0,0.0,0.0,0.0,0.00014207517859390767,-0.00022778760792151195
40512,1,0.9513101598501258,10.574595481525485,0.0,0.0,0.0,0.0,0.0,-0.00024054445732000796,0.00021368490509348145
40513,1,0.9513822052801937,10.578450250812379,0.0,0.0,0.0,0.0,0.0,-0.00024050802969288057,0.00021365253807773075
40514,1,0.9513101596672138,10.574595476358306,0.0,0.0,0.0,0.0,0.0,-0.00024054445745617673,0.00021368490513685504
40515,1,0.9513755835191915,10.578095950481616,0.0,0.0,0.0,0.0,0.0,-0.00024051137728156054,0.0002136555127970309
40516,1,0.9549347395482587,11.443648701711398,0.0,0.0,0.0,0.0,0.0,0.0006040791065353628,-0.0002866235316908918
40517,1,0.9547739149490334,11.439070328559259,0.0,0.0,0.0,0.0,0.0,0.0006042826499888731,-0.00028672009135642304
41935,1,0.9499999899999932,-41.15207919063833,0.0,0.0,4.0,0.812,0.0,-0.16600903282667434,0.054662538036518354
42344,1,1.0342973727868334,61.33460634355051,0.0,0.0,0.0,0.0,0.0,-0.0004347999151790513,2.777685295098389e-5
42345,1,1.034344407693185,61.33477228200771,0.0,0.0,0.0,0.0,0.0,-0.00043476037357363304,2.7774325850392176e-5
42417,1,1.023608674448696,-15.100567681372878,0.0,0.0,0.0,0.0,0.0,0.00018636564501038494,2.6718180291267366e-5
42418,1,1.023567247015493,-15.100175843833412,0.0,0.0,0.0,0.0,0.0,0.00018638073141557656,2.672034159554839e-5
42425,1,1.0415262777093541,-17.133381969112012,0.0,0.0,0.0,0.0,0.0,0.00016961188871638888,2.263231594707335e-5
42426,1,1.041577032991694,-17.1337545194862,0.0,0.0,0.0,0.0,0.0,0.00016959535864266386,2.2630112236216782e-5
42427,1,1.0465468848669968,-16.023919024759273,0.0,0.0,0.0,0.0,0.0,0.004273738570399607,-0.0001231129506338261
42428,1,1.047848551224375,-16.0218687155638,0.0,0.0,0.0,0.0,0.0,0.004263120653121495,-0.00012280746022305038
42429,1,1.0500000104999998,-15.670282901769129,0.0,0.0,0.36,0.11800000000000001,0.0,0.0035864925210786357,-7.463903828898066e-5
42430,1,1.0443053984755517,-16.672728072769004,0.0,0.0,0.75,0.247,0.0,0.0001687223892976458,2.5352420944173165e-5
43952,1,1.0368292040053655,59.158161377101045,0.0,0.0,0.0,0.0,0.0,-0.0004334802023114473,5.734739025957536e-5
43953,1,1.0367376914677044,59.15335977456363,0.0,0.0,0.0,0.0,0.0,-0.0004329192511972017,5.726263402380821e-5
44027,1,1.0499738448119371,49.59852471080739,0.0,0.0,0.0,0.0,0.0,-0.00029860845147601045,0.00010148726369301031
44028,1,1.050208321115187,49.60287166706184,0.0,0.0,0.0,0.0,0.0,-0.0002984751444385773,0.00010144193876777349
44029,1,1.0499738448119371,49.59852471080739,0.0,0.0,0.0,0.0,0.0,-0.0002986084514760105,0.00010148726369301028
44030,1,1.050208321115187,49.60287166706185,0.0,0.0,0.0,0.0,0.0,-0.00029847514443857734,0.00010144193876777346
44035,1,1.0504849460671906,45.84915039698609,0.0,0.0,0.0,0.0,0.0,-0.0002334989023320516,0.00010084358769178671
44036,1,1.0506682354623613,45.85346654117029,0.0,0.0,0.0,0.0,0.0,-0.00023341744994537944,0.00010080839617741532
