Caso,Formulacao,Status,Tempo_s,Vmin_pu,Vmax_pu,Pg_total_MW,Qg_total_MVAr,Slacks,N_Barras,N_CSCA
3bus_DCSC,(16) QLIM+VLIM,LOCALLY_SOLVED,0.002291875,1.017823302991474,1.0361980937767095,30.661113243350247,5.4693039764387175,226.19933621301996,3,0
3bus_DCSC,(17) CSCA,LOCALLY_SOLVED,0.001600334,1.017823302991474,1.0361980937767095,30.661113243350247,5.4693039764387175,226.19933621301996,3,0
3bus_DCline,(15) PM,LOCALLY_SOLVED,0.0024555,0.9970372619666746,1.03,42.61721156975682,3.0810110514852616,0.0,3,0
3bus_DCline,(16) QLIM+VLIM,LOCALLY_SOLVED,0.0016735,0.9970369891564238,1.0299999999942555,42.617463846155616,6.162264622817723,6.451010634831262e-17,3,0
3bus_DCline,(17) CSCA,LOCALLY_SOLVED,0.001515709,0.9970369891564238,1.0299999999942555,42.617463846155616,6.162264622817723,6.451010634831262e-17,3,0
3bus_DSHL,(15) PM,LOCALLY_SOLVED,0.002827083,0.6621750315922079,1.029,120.44526351414804,319.0754677947872,0.0,3,0
3bus_DSHL,(16) QLIM+VLIM,LOCALLY_SOLVED,0.003545917,0.8999999900000356,1.0458195817576248,35.13874964867594,130.40000130395995,4.207423812243384e6,3,0
3bus_DSHL,(17) CSCA,LOCALLY_SOLVED,0.00259825,0.8999999900000356,1.0458195817576248,35.13874964867594,130.40000130395995,4.207423812243384e6,3,0
3bus_corrections,(15) PM,ERRO: ErrorException,NaN,NaN,NaN,NaN,NaN,NaN,0,0
3bus_corrections,(16) QLIM+VLIM,ERRO: ErrorException,NaN,NaN,NaN,NaN,NaN,NaN,0,0
3bus_corrections,(17) CSCA,ERRO: ErrorException,NaN,NaN,NaN,NaN,NaN,NaN,0,0
3bus_shunt_fields,(15) PM,LOCALLY_SOLVED,0.00278675,1.0147115555220532,1.03,31.430496262879903,31.142985257801932,0.0,3,0
3bus_shunt_fields,(16) QLIM+VLIM,LOCALLY_SOLVED,0.00177075,1.0061539872779495,1.0521505765673511,33.01443949563382,30.47544088900717,1106.2828008748397,3,0
3bus_shunt_fields,(17) CSCA,LOCALLY_SOLVED,0.0016725,1.0290000000232997,1.030000000045062,32.192665130012834,-20.116132623169612,9.262060457195361e-15,3,2
500bus,(15) PM,LOCALLY_SOLVED,0.10422725,0.9847184287659362,1.041359091933609,7602.047576044487,1505.2774376685968,0.0,500,0
500bus,(16) QLIM+VLIM,LOCALLY_SOLVED,0.166548834,0.9839203702366855,1.043485331187034,7602.120924727973,1514.4043897320123,803.2939014261319,500,0
500bus,(17) CSCA,LOCALLY_SOLVED,0.168331458,0.9829990248270044,1.047668616989342,7601.771055003496,1611.6736780820581,450.1051998982823,500,15
9bus,(15) PM,LOCALLY_SOLVED,0.003515875,1.050078551206911,1.083478660355622,317.49138602465393,-5.4523028591420095,0.0,9,0
