caso,script,termination_status,solve_time_s,objective,iteracoes,p_loss_total_pu
01 MAXIMA NOTURNA_DEZ25.PWF,19,LOCALLY_INFEASIBLE,NaN,NaN,NaN,NaN
300bus.pwf,19,LOCALLY_SOLVED,3.614192008972168,576.1973013461255,NaN,5.937973839115611
3bus.pwf,19,LOCALLY_SOLVED,2.8958799839019775,-0.09993218995764215,NaN,0.009278047133911116
3bus_DBSH.pwf,19,LOCALLY_SOLVED,2.6505281925201416,-0.09988419614295449,NaN,0.030138574907605076
3bus_DCER.pwf,19,LOCALLY_SOLVED,2.6223878860473633,-0.09988668382347558,NaN,0.030322298592705188
3bus_DCSC.pwf,19,LOCALLY_SOLVED,2.6389498710632324,-0.09990212756390497,NaN,0.002882538710532234
3bus_DCline.pwf,19,LOCALLY_SOLVED,3.3073489665985107,1.7722258039610047e7,NaN,6.134444045804161
3bus_DSHL.pwf,19,LOCALLY_SOLVED,2.8588550090789795,4.207140441447735e6,NaN,0.17741921937826
3bus_corrections.pwf,19,OTHER_ERROR,NaN,NaN,NaN,NaN
3bus_shunt_fields.pwf,19,LOCALLY_SOLVED,2.6998629570007324,408.95547808585115,NaN,0.021895968775909935
3busfrank.pwf,19,LOCALLY_SOLVED,2.2608230113983154,-0.09979668481398123,NaN,0.026552413700809296
3busfrank_continuous_shunt.pwf,19,LOCALLY_SOLVED,2.6322200298309326,-0.09990438458290941,NaN,0.01817086009699942
3busfrank_qlim.pwf,19,LOCALLY_SOLVED,3.2906060218811035,-0.09991780406145766,NaN,0.14161830869859848
4busfrank_vlim.pwf,19,LOCALLY_SOLVED,3.8292670249938965,186900.02850747408,NaN,0.1714436841755758
500bus.pwf,19,LOCALLY_SOLVED,4.8342530727386475,375.3576963324599,NaN,0.9043228138252329
5busfrank.pwf,19,LOCALLY_SOLVED,5.516614198684692,-0.299914159837211,NaN,0.02952867986724783
5busfrank_cphs.pwf,19,LOCALLY_SOLVED,4.4772398471832275,-0.2997767883371288,NaN,0.050708700960162556
5busfrank_csca.pwf,19,LOCALLY_SOLVED,4.201357126235962,19242.83696518878,NaN,0.17392835077494428
5busfrank_ctaf.pwf,19,LOCALLY_SOLVED,3.331002950668335,-0.29982206933894345,NaN,0.04196500412951076
5busfrank_ctap.pwf,19,LOCALLY_SOLVED,3.244321823120117,-0.29982206933894345,NaN,0.04196500412951076
9bus.pwf,19,LOCALLY_SOLVED,3.174436092376709,-0.29975067266151884,NaN,0.029169949767095416
9bus_transformer_fields.pwf,19,LOCALLY_SOLVED,3.2944860458374023,-0.2997219392164304,NaN,0.02732442074971475
test_defaults.pwf,19,OTHER_ERROR,NaN,NaN,NaN,NaN
test_line_shunt.pwf,19,OTHER_ERROR,NaN,NaN,NaN,NaN
test_system.pwf,19,LOCALLY_SOLVED,2.7494330406188965,-0.09989511620867515,NaN,0.002426249470847297
